Ranking,Time,Family name,First Name,Gender,Birthdate,Nationality,Bib Number,City,Team
1,05:42:18,Martin,Alex,M,1990-04-12,THA,101,Phuket,Trail Club
2,05:55:41,Wong,Daniel,M,1987-08-03,SGP,102,Singapore,Mountain Crew
3,06:12:07,Jones,Peter,M,1993-11-21,GBR,103,London,Independent
4,06:28:32,Chen,Liam,M,1985-02-14,AUS,104,Sydney,Ultra Asia
5,06:41:10,Rossi,Marco,M,1991-06-30,ITA,105,Milan,Dolomiti
6,06:58:45,Sato,Kenji,M,1989-09-18,JPN,106,Tokyo,Trail Japan
7,07:21:09,Brown,Tom,M,1978-01-07,GBR,107,Manchester,Independent
8,07:44:50,Tan,Michael,M,1995-05-22,MYS,108,Kuala Lumpur,Run MY
9,08:02:14,Keller,Nina,F,1992-03-11,DEU,109,Munich,Alpine Run
10,08:16:31,Wilson,Sarah,F,1988-12-02,AUS,110,Melbourne,Ultra Asia
11,08:34:12,Lee,Emma,F,1996-07-25,SGP,111,Singapore,Mountain Crew
12,09:01:44,Dubois,Sophie,F,1990-10-09,FRA,112,Lyon,Alpine Run
