Ranking,Time,Family name,First Name,Gender,Birthdate,Nationality,Bib Number,City,Team
1,01:28:14,Torres,Marisol,F,1990-01-15,MEX,301,Oaxaca,Sierra Trail
2,01:31:52,Kim,Joon,M,1989-08-22,KOR,302,Seoul,Independent
3,01:34:09,Fischer,Lena,F,1994-04-11,DEU,303,Berlin,Alpine Run
4,01:36:47,Costa,Rafael,M,1992-10-03,BRA,304,Rio de Janeiro,Independent
5,01:39:20,Nilsson,Elin,F,1996-02-27,SWE,305,Gothenburg,Nordic Pace
6,01:42:05,Dubois,Marc,M,1985-05-19,FRA,306,Nice,Trail Cote d'Azur
7,01:45:33,Petrov,Ivan,M,1993-09-08,BGR,307,Sofia,Independent
8,01:48:58,Yamada,Sora,F,1991-12-14,JPN,308,Osaka,Trail Japan
9,01:52:41,Alvarez,Camila,F,1997-03-30,ARG,309,Mendoza,Andes Runners
10,01:56:19,Hassan,Omar,M,1990-07-07,MAR,310,Marrakesh,Atlas Trail
