Ranking,Time,Family name,First Name,Gender,Birthdate,Nationality,Bib Number,City,Team
1,02:43:12,Martin,Alex,M,1990-04-12,THA,101,Phuket,Trail Club
2,02:51:48,Wong,Daniel,M,1987-08-03,SGP,102,Singapore,Mountain Crew
3,03:04:26,Jones,Peter,M,1993-11-21,GBR,103,London,Independent
4,03:17:55,Chen,Liam,M,1985-02-14,AUS,104,Sydney,Ultra Asia
5,03:29:08,Rossi,Marco,M,1991-06-30,ITA,105,Milan,Dolomiti
6,03:41:20,Sato,Kenji,M,1989-09-18,JPN,106,Tokyo,Trail Japan
7,03:55:44,Brown,Tom,M,1978-01-07,GBR,107,Manchester,Independent
8,04:07:11,Tan,Michael,M,1995-05-22,MYS,108,Kuala Lumpur,Run MY
9,04:21:36,Keller,Nina,F,1992-03-11,DEU,109,Munich,Alpine Run
10,04:38:19,Wilson,Sarah,F,1988-12-02,AUS,110,Melbourne,Ultra Asia
11,04:49:02,Lee,Emma,F,1996-07-25,SGP,111,Singapore,Mountain Crew
12,05:03:27,Dubois,Sophie,F,1990-10-09,FRA,112,Lyon,Alpine Run
